Date,Country,City,Specie,count,min,max,median,variance
2020-01-03,CO,Bogotá,pm10,333,6.0,85.0,28.0,2374.85
2020-01-06,CO,Bogotá,pm10,324,7.0,157.0,26.0,3328.79
2020-03-19,CO,Bogotá,pm10,326,23.0,108.0,58.0,1703.55
2020-03-17,CO,Bogotá,pm10,335,16.0,130.0,54.0,2856.62
2020-01-05,CO,Bogotá,pm10,336,8.0,141.0,23.0,2171.59
2020-01-16,CO,Bogotá,pm10,326,4.0,85.0,23.0,2536.47
2020-01-20,CO,Bogotá,pm10,335,3.0,114.0,26.0,3203.60
2020-01-31,CO,Bogotá,pm10,322,3.0,134.0,27.0,2692.83
2020-02-17,CO,Bogotá,pm10,310,4.0,85.0,24.0,2025.93
2020-03-16,CO,Bogotá,pm10,329,14.0,94.0,43.0,2551.28
2020-01-22,CO,Bogotá,pm10,336,7.0,90.0,35.0,2569.91
2020-01-24,CO,Bogotá,pm10,335,11.0,112.0,40.0,3042.11
2020-02-04,CO,Bogotá,pm10,310,4.0,106.0,44.0,3272.31
2020-03-26,CO,Bogotá,pm10,328,11.0,68.0,35.0,1218.50
2020-02-24,CO,Bogotá,pm10,336,4.0,101.0,27.0,3357.06
2020-02-28,CO,Bogotá,pm10,325,12.0,139.0,47.0,3361.94
2020-01-01,CO,Bogotá,pm10,312,2.0,86.0,25.0,2436.98
2020-01-08,CO,Bogotá,pm10,314,6.0,109.0,35.0,3045.70
2020-01-26,CO,Bogotá,pm10,334,5.0,70.0,20.0,1289.49
2020-01-28,CO,Bogotá,pm10,320,6.0,110.0,37.0,3028.49
2020-02-11,CO,Bogotá,pm10,255,5.0,99.0,35.0,2969.56
2020-02-20,CO,Bogotá,pm10,310,6.0,93.0,38.0,2878.31
2020-03-08,CO,Bogotá,pm10,295,19.0,77.0,42.0,1114.96
2020-03-11,CO,Bogotá,pm10,330,16.0,124.0,39.0,1926.13
2020-03-12,CO,Bogotá,pm10,333,15.0,106.0,40.0,2096.20
2020-03-21,CO,Bogotá,pm10,334,10.0,65.0,31.0,1133.45
2020-01-23,CO,Bogotá,pm10,336,9.0,99.0,36.0,2237.94
2020-01-25,CO,Bogotá,pm10,330,2.0,109.0,38.0,3214.98
2020-03-07,CO,Bogotá,pm10,333,24.0,108.0,56.0,1603.60
2020-03-29,CO,Bogotá,pm10,320,20.0,93.0,50.0,1115.03
2020-02-09,CO,Bogotá,o3,277,0.2,36.6,5.7,683.10
2020-02-12,CO,Bogotá,o3,286,0.3,18.9,5.1,234.54
2020-02-15,CO,Bogotá,o3,288,0.4,11.9,5.4,102.83
2020-02-23,CO,Bogotá,o3,327,0.3,16.3,3.4,144.97
2020-02-25,CO,Bogotá,o3,334,0.1,28.4,2.8,453.26
2020-03-23,CO,Bogotá,o3,293,1.8,23.4,11.7,294.71
2020-03-24,CO,Bogotá,o3,298,0.7,23.2,9.2,277.70
2019-12-30,CO,Bogotá,o3,241,0.2,25.1,2.1,267.30
